"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.4,
"SVK","EDUPRIVEXP","TRY","PC_GDP","A","2012",1,
"SVK","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.1,
"ESP","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.3,
"ESP","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.3,
"SWE","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.7,
"SWE","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"GBR","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.8,
"GBR","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.8,
"USA","EDUPRIVEXP","TRY","PC_GDP","A","2012",2.7,
"USA","EDUPRIVEXP","TRY","PC_GDP","A","2013",2.6,
"CHL","EDUPRIVEXP","TRY","PC_GDP","A","2012",2.5,
"CHL","EDUPRIVEXP","TRY","PC_GDP","A","2013",2.4,
"CHL","EDUPRIVEXP","TRY","PC_GDP","A","2014",2.3,
"EST","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.6,
"EST","EDUPRIVEXP","TRY","PC_GDP","A","2013",2,
"IDN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.8,
"IDN","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.5,
"ISR","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.6,
"ISR","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"RUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"RUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.4,
"SVN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.2,
"SVN","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.2,
"AUS","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4,
"AUS","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.9,
"AUT","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"AUT","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.2,
"BEL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.3,
"BEL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.4,
"CAN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"CAN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"CZE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.8,
"CZE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.7,
"DNK","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.7,
"DNK","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.6,
"FRA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.8,
"FRA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.8,
"DEU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"DEU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.1,
"ISL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.6,
"ISL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.6,
"IRL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.3,
"IRL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4,
"ITA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3,
"ITA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3,
"JPN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.9,
"JPN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.9,
"KOR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"KOR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.6,
"LUX","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.3,
"LUX","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.9,
"MEX","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.9,
"MEX","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.9,
"NLD","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.8,
"NLD","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.8,
"NZL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.9,
"NZL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.7,
"POL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.4,
"POL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.4,
"SVK","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.7,
"SVK","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.7,
"ESP","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"ESP","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3,
"CHE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.8,
"CHE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"USA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"USA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.5,
"CHL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"CHL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.4,
"CHL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2014",3.1,
"EST","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.2,
"EST","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.1,
"IDN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.8,
"IDN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.3,
"ISR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4,
"ISR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.3,
"RUS","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.3,
"RUS","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.3,
"SVN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"SVN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.7,
"AUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.6,
"AUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.6,
"AUT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.9,
"AUT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5,
"BEL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.7,
"BEL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.8,
"CAN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6.1,
"CAN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",,"M"
"CZE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.2,
"CZE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4,
"DNK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"DNK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.4,
"FIN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.9,
"FIN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.9,
"FIN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.8,
"FIN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.7,
"FRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.3,
"FRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.3,
"DEU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.4,
"DEU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.3,
"GRC","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"GRC","EDUPRIVEXP","TRY","PC_GDP","A","2013",,"M"
"GRC","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"GRC","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"GRC","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",,"M"
"HUN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.2,
"HUN","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.3,
"HUN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.6,
"HUN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.5,
"HUN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",3.8,
"HUN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",3.8,
"ISL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6,
"ISL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.9,
"IRL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.7,
"IRL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.2,
"ITA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",3.9,
"ITA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4,
"JPN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.5,
"JPN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.5,
"KOR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6,
"KOR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.9,
"LUX","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.4,
"LUX","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.5,
"LUX","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",3.8,
"LUX","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",3.5,
"MEX","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.2,
"MEX","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.2,
"NLD","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.4,
"NLD","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.5,
"NZL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6.8,
"NZL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.5,
"NOR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.6,
"NOR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.7,
"NOR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6.2,
"NOR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.3,
"POL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.8,
"POL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.8,
"PRT","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.5,
"PRT","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.7,
"PRT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.8,
"PRT","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.1,
"SVK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",3.7,
"SVK","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",3.8,
"ESP","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.3,
"ESP","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.3,
"SWE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"SWE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.7,
"SWE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.4,
"SWE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.4,
"CHE","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.2,
"CHE","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.2,
"CHE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.1,
"CHE","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.1,
"TUR","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"TUR","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"TUR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3,
"TUR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.3,
"TUR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.4,
"TUR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5,
"GBR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.4,
"GBR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.8,
"GBR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6.2,
"GBR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.7,
"USA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"USA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.2,
"ARG","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"ARG","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.1,
"ARG","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"ARG","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.4,
"ARG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"ARG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.5,
"BRA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.8,
"BRA","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.9,
"BRA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",4.3,
"BRA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.3,
"BRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.1,
"BRA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.2,
"CHL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",6.1,
"CHL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.8,
"CHL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2014",5.5,
"CHN","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"CHN","EDUPRIVEXP","TRY","PC_GDP","A","2013",,"M"
"CHN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"CHN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"CHN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",,"M"
"COL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.9,
"COL","EDUPRIVEXP","TRY","PC_GDP","A","2013",2.2,
"COL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.7,
"COL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",4.3,
"COL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",2.6,
"COL","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",6.6,
"EST","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.8,
"EST","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.2,
"IND","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"IND","EDUPRIVEXP","TRY","PC_GDP","A","2013",,"M"
"IND","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"IND","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"IND","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",,"M"
"IDN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",3.6,
"IDN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",2.8,
"ISR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.6,
"ISR","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.9,
"LVA","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"LVA","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.4,
"LVA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",2.9,
"LVA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.1,
"LVA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.2,
"LVA","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.5,
"RUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",3.7,
"RUS","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",3.8,
"SAU","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"SAU","EDUPRIVEXP","TRY","PC_GDP","A","2013",,"M"
"SAU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"SAU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"SAU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",,"M"
"SVN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",4.9,
"SVN","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.8,
"ZAF","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"ZAF","EDUPRIVEXP","TRY","PC_GDP","A","2013",,"M"
"ZAF","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"ZAF","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"ZAF","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",,"M"
"CRI","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"CRI","EDUPRIVEXP","TRY","PC_GDP","A","2013",2.6,
"LTU","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"LTU","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.7,
"CRI","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"CRI","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"CRI","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",8.3,
"LTU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",9.6,
"LTU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",2.7,
"LTU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",,"M"
"LTU","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",4.4,
"OAVG","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.5,
"OAVG","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.6,
"OAVG","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"OAVG","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2013",3.6,
"OAVG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2012",5.2,
"OAVG","EDUPRIVEXP","PRY_TRY","PC_GDP","A","2013",5.2,
